                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                  1.767,                 1.1628,                 1.2928,                0.72664,                0.62049,                0.69997,                0.37411,                 1.7141,                 1.1268,                 1.2592,               0.007327,               0.007327,               0.007327
                     84,                 1.7716,                 1.1846,                 1.3235,                0.65051,                0.60949,                0.66683,                0.34552,                 1.7807,                 1.2014,                 1.2978,               0.007294,               0.007294,               0.007294
                     85,                 1.7624,                 1.1585,                 1.2961,                0.66188,                0.59915,                0.65186,                0.33344,                 1.7871,                 1.2642,                 1.2995,               0.007261,               0.007261,               0.007261
                     86,                 1.7498,                 1.1575,                 1.2951,                0.64574,                0.61057,                0.65699,                0.33529,                 1.7444,                 1.1729,                 1.2853,               0.007228,               0.007228,               0.007228
                     87,                 1.7654,                 1.1594,                 1.2997,                0.64797,                 0.5903,                0.63426,                0.33194,                 1.6733,                 1.1879,                 1.2462,               0.007195,               0.007195,               0.007195
                     88,                 1.7504,                 1.1519,                 1.2932,                0.71502,                0.57252,                0.67668,                0.35788,                 1.6857,                 1.1094,                 1.2562,               0.007162,               0.007162,               0.007162
                     89,                 1.7446,                 1.1396,                 1.2976,                 0.6887,                0.60159,                0.68624,                0.34408,                 1.6851,                 1.1087,                 1.2549,               0.007129,               0.007129,               0.007129
                     90,                 1.7471,                 1.1387,                 1.2943,                0.63902,                0.60508,                0.66233,                0.34654,                 1.7277,                 1.1835,                 1.2866,               0.007096,               0.007096,               0.007096
                     91,                 1.7584,                 1.1301,                 1.2991,                0.70747,                0.57603,                 0.6652,                0.33272,                 1.7779,                 1.1579,                 1.3093,               0.007063,               0.007063,               0.007063
                     92,                 1.7428,                 1.1401,                 1.2982,                0.71629,                0.58901,                0.67105,                0.35631,                  1.673,                  1.104,                 1.2489,                0.00703,                0.00703,                0.00703
                     93,                 1.7298,                 1.1373,                 1.3055,                0.66313,                0.56141,                0.61695,                0.31261,                 1.8158,                 1.1992,                 1.3246,               0.006997,               0.006997,               0.006997
                     94,                 1.7304,                 1.1355,                  1.297,                0.64789,                0.67382,                0.67688,                0.35647,                 1.7049,                 1.1446,                 1.2613,               0.006964,               0.006964,               0.006964
                     95,                 1.7435,                 1.1171,                 1.2982,                 0.6528,                0.71134,                0.69639,                0.37141,                 1.6575,                 1.1277,                 1.2409,               0.006931,               0.006931,               0.006931
                     96,                 1.7295,                 1.1114,                 1.2795,                0.67356,                0.67561,                0.69462,                0.36808,                 1.6906,                 1.1665,                 1.2512,               0.006898,               0.006898,               0.006898
