epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,388.488,1.67659,1.16329,1.2003,0.65304,0.66082,0.68611,0.40014,1.58312,1.16943,1.22374,0.005512,0.005512,0.005512
138,391.287,1.67258,1.12884,1.17625,0.64639,0.66626,0.68693,0.39807,1.57154,1.18692,1.21847,0.005479,0.005479,0.005479
139,394.263,1.6774,1.15155,1.19476,0.60329,0.64803,0.6365,0.36148,1.59005,1.23944,1.23288,0.005446,0.005446,0.005446
140,397.108,1.67246,1.155,1.2027,0.62661,0.62584,0.66193,0.37569,1.59744,1.25349,1.2314,0.005413,0.005413,0.005413
141,399.9,1.6593,1.12753,1.18891,0.59995,0.68936,0.65524,0.38061,1.58645,1.19037,1.22296,0.00538,0.00538,0.00538
142,402.638,1.68458,1.16195,1.19537,0.61133,0.63545,0.64409,0.37006,1.58743,1.21905,1.22102,0.005347,0.005347,0.005347
143,405.409,1.69267,1.16798,1.18292,0.59554,0.6359,0.65707,0.37649,1.58353,1.19169,1.22036,0.005314,0.005314,0.005314
144,408.134,1.6402,1.15204,1.18998,0.68569,0.60402,0.68287,0.39457,1.55677,1.13225,1.21926,0.005281,0.005281,0.005281
145,410.883,1.65934,1.14404,1.19589,0.60727,0.65644,0.67233,0.38952,1.56052,1.19354,1.21636,0.005248,0.005248,0.005248
146,413.662,1.64294,1.10863,1.17956,0.62516,0.64716,0.67628,0.39098,1.5569,1.17169,1.2129,0.005215,0.005215,0.005215
147,416.449,1.66356,1.12091,1.19329,0.65086,0.64383,0.69276,0.39848,1.55764,1.13971,1.2121,0.005182,0.005182,0.005182
148,419.257,1.66556,1.12836,1.1798,0.637,0.68583,0.69484,0.40051,1.56681,1.13005,1.21717,0.005149,0.005149,0.005149
149,422.029,1.66302,1.12309,1.19523,0.66341,0.6234,0.68352,0.38639,1.59182,1.18438,1.2247,0.005116,0.005116,0.005116
150,424.81,1.65574,1.11703,1.18565,0.68968,0.68612,0.72581,0.42239,1.54478,1.10258,1.20584,0.005083,0.005083,0.005083
151,427.744,1.65014,1.11637,1.17369,0.6996,0.68243,0.72187,0.42292,1.54838,1.09512,1.20768,0.00505,0.00505,0.00505
