               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.042321,             0.12191,           0.0058059,              0.7583,              0.6195,             0.68767,             0.36945,            0.041186,              0.1615,           0.0098225,            0.007954,            0.007954,            0.007954
                  64,            0.040937,             0.11843,           0.0054121,             0.77823,             0.61037,             0.68916,             0.37537,            0.041142,             0.16702,           0.0092834,            0.007921,            0.007921,            0.007921
                  65,            0.042033,             0.12285,           0.0052394,              0.7345,             0.63639,             0.67126,             0.30489,            0.046715,             0.16561,           0.0084875,            0.007888,            0.007888,            0.007888
                  66,            0.040993,             0.11935,           0.0052978,             0.79581,             0.58142,             0.66867,             0.35683,            0.042358,             0.17967,           0.0084394,            0.007855,            0.007855,            0.007855
                  67,            0.040399,             0.12064,           0.0050753,             0.80469,             0.59278,             0.68243,             0.35369,            0.044001,             0.18778,           0.0081591,            0.007822,            0.007822,            0.007822
                  68,            0.040917,             0.12115,           0.0049067,             0.78748,             0.63741,             0.70354,             0.37675,            0.040724,             0.16563,           0.0096245,            0.007789,            0.007789,            0.007789
                  69,            0.040886,             0.11706,           0.0045329,             0.79243,             0.60898,             0.68085,              0.3751,            0.040321,             0.17088,            0.010439,            0.007756,            0.007756,            0.007756
                  70,            0.040948,              0.1155,           0.0045405,             0.74457,             0.63883,             0.69593,             0.38046,            0.040261,             0.16588,           0.0084286,            0.007723,            0.007723,            0.007723
                  71,            0.039849,             0.12064,           0.0045648,             0.72173,             0.62739,             0.69219,             0.35976,            0.042437,             0.16612,           0.0086191,             0.00769,             0.00769,             0.00769
                  72,            0.041186,             0.11647,           0.0044558,             0.75942,             0.61003,             0.67724,             0.35337,            0.043341,             0.16911,           0.0079966,            0.007657,            0.007657,            0.007657
                  73,            0.041258,             0.11821,            0.004726,              0.7348,             0.67459,             0.70982,             0.37435,             0.04236,             0.16956,            0.007608,            0.007624,            0.007624,            0.007624
                  74,            0.040567,             0.11595,           0.0043591,             0.70049,              0.6733,              0.7071,             0.37964,            0.041384,             0.16904,           0.0081551,            0.007591,            0.007591,            0.007591
                  75,            0.039881,             0.12489,           0.0042602,             0.77986,              0.6384,             0.70593,             0.38284,            0.040641,             0.16555,           0.0093533,            0.007558,            0.007558,            0.007558
                  76,            0.041083,             0.11358,            0.004571,             0.73674,             0.68796,             0.71071,             0.38306,            0.041138,             0.16542,           0.0080269,            0.007525,            0.007525,            0.007525
